DemandAggregatedForecast,WindAggregatedForecast,MULTI_FUEL_-24,GAS_-24,,,GasPrice,CarbonPrice,cost
5234,1319.23,-3250.4,-720,,,42.93,27.75,44.7372
5380,1282.77,-3232.4,-722,,,42.93,27.75,44.7372
5193,1238.92,-3254,-724,,,42.93,27.75,44.7372
5076,1210.71,-3196.8,-727,,,42.93,27.75,44.7372
5291,1276.68,-3170.7,-729,,,42.93,27.75,44.7372
4828,1368.08,-3158.4,-730,,,42.93,27.75,44.7372
4169,1543.65,-3152.9,-731,,,44.11,28.21,45.8488
3665,1564.48,-3152.7,-732,,,44.11,28.21,45.8488
3493,1617.85,-3152.5,-733,,,44.11,28.21,45.8488
3380,1656.9,-3152.7,-734,,,44.11,28.21,45.8488
3315,1701.26,-3152.6,-734,,,44.11,28.21,45.8488
3280,1663.06,-3152.5,-734,,,44.11,28.21,45.8488
3327,1642.85,-3152.2,-734,,,44.11,28.21,45.8488
3572,1641.35,-3151.8,-733,,,44.11,28.21,45.8488
4067,1640.82,-3164.5,-734,,,44.11,28.21,45.8488
4751,1593.308,-3170,-731,,,44.11,28.21,45.8488
5121,1479.75,-3169.7,-730,,,44.11,28.21,45.8488
5125,1398.02,-3169,-729,,,44.11,28.21,45.8488
5117,1473.259,-3168.6,-727,,,44.11,28.21,45.8488
5076,1603.056,-3168,-724,,,44.11,28.21,45.8488
5041,1683.556,-3167.2,-722,,,44.11,28.21,45.8488
4901,1679.656,-3166.6,-720,,,44.11,28.21,45.8488
4876,1621.248,-3165,-719,,,44.11,28.21,45.8488
4891,1483.136,-3165.2,-717,,,44.11,28.21,45.8488
5008,1357.759,-3167.5,-717,,,44.11,28.21,45.8488
5033,1211.78,-3168.7,-719,,,44.11,28.21,45.8488
4870,1029.9,-3169.7,-720,,,44.11,28.21,45.8488
4726,841.18,-3169.7,-721,,,44.11,28.21,45.8488
4960,798.76,-3169.5,-724,,,44.11,28.21,45.8488
4606,841.83,-3155.8,-725,,,44.11,28.21,45.8488
4170,1125.96,-3148.4,-732,,,43.09,27.63,44.8168
3760,1134.41,-3148.4,-733,,,43.09,27.63,44.8168
3582,1179.05,-3148.4,-733,,,43.09,27.63,44.8168
3428,1250.22,-3148.4,-734,,,43.09,27.63,44.8168
3330,1333.36,-3148.4,-733,,,43.09,27.63,44.8168
3249,1392.41,-3149.4,-734,,,43.09,27.63,44.8168
3296,1459.38,-3149.4,-734,,,43.09,27.63,44.8168
3485,1523.17,-3149.4,-733,,,43.09,27.63,44.8168
3820,1587.83,-3162.2,-733,,,43.09,27.63,44.8168
4330,1525.73,-3162.2,-731,,,43.09,27.63,44.8168
4724,1269,-3176.9,-730,,,43.09,27.63,44.8168
4821,982.74,-3181.8,-727,,,43.09,27.63,44.8168
4788,901.13,-3193.6,-724,,,43.09,27.63,44.8168
4801,1000.44,-3201.5,-721,,,43.09,27.63,44.8168
4830,1166.47,-3207.4,-718,,,43.09,27.63,44.8168
4664,1240.42,-3189,-715,,,43.09,27.63,44.8168
4478,1227.6,-3207.4,-714,,,43.09,27.63,44.8168
4469,1092.55,-3222.1,-713,,,43.09,27.63,44.8168
4715,884,-3236.8,-713,,,43.09,27.63,44.8168
4866,665,-3249.6,-715,,,43.09,27.63,44.8168
